State,County/ Congressional District,Veteran Population,Year
California,GLENN,1979,2010
California,HUMBOLDT,10988,2010
California,IMPERIAL,6579,2010
California,INYO,1823,2010
California,KERN,47365,2010
California,KINGS,12330,2010
California,LAKE,7010,2010
California,LASSEN,3390,2010
California,LOS ANGELES,368128,2010
California,MADERA,8142,2010
California,MARIN,16783,2010
California,MARIPOSA,2192,2010
California,MENDOCINO,6924,2010
Indiana,FULTON,1826,2010
Indiana,GIBSON,2805,2010
Indiana,GRANT,6195,2010
Indiana,GREENE,3270,2010
Indiana,HAMILTON,14695,2010
Indiana,HANCOCK,6077,2010
Indiana,HARRISON,3704,2010
Indiana,HENDRICKS,10941,2010
Indiana,HENRY,4642,2010
Indiana,HOWARD,7418,2010
Indiana,HUNTINGTON,2768,2010
Indiana,JACKSON,3312,2010
Indiana,JASPER,2757,2010
Indiana,JAY,1539,2010
Indiana,JEFFERSON,2601,2010
Indiana,JENNINGS,2489,2010
Indiana,JOHNSON,10054,2010
Indiana,KNOX,3135,2010
Indiana,KOSCIUSKO,5507,2010
Indiana,LAGRANGE,1685,2010
Indiana,LAKE,37140,2010
Indiana,LAPORTE,10183,2010
Indiana,LAWRENCE,4205,2010
Indiana,MADISON,11487,2010
Indiana,MARION,62348,2010
Indiana,MARSHALL,3506,2010
Indiana,MARTIN,1030,2010
Indiana,MIAMI,3708,2010
Indiana,MONROE,7376,2010
Indiana,MONTGOMERY,3088,2010
Indiana,MORGAN,5272,2010
Indiana,NEWTON,1399,2010
Indiana,NOBLE,3605,2010
Indiana,OHIO,628,2010
Indiana,ORANGE,1475,2010
Indiana,OWEN,2148,2010
Indiana,PARKE,1712,2010
Indiana,PERRY,1587,2010
Indiana,PIKE,1326,2010
Indiana,PORTER,12180,2010
Indiana,POSEY,2180,2010
Indiana,PULASKI,960,2010
Indiana,PUTNAM,3207,2010
Indiana,RANDOLPH,2113,2010
Indiana,RIPLEY,2345,2010
Indiana,RUSH,1706,2010
Indiana,SAINT JOSEPH,20344,2010
Indiana,SCOTT,1750,2010
Indiana,SHELBY,3886,2010
Indiana,SPENCER,1985,2010
Indiana,STARKE,1918,2010
